regime,variant,r,stage1_kernel,stage1_label,n_selected
diff_mean_tiny_covariance_gap,MY-large_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-large_mu,7,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-large_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-large_mu,8,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-large_mu,10,linear,linear,3
diff_mean_tiny_covariance_gap,MY-large_mu,12,linear,linear,2
diff_mean_tiny_covariance_gap,MY-large_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,14,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,14,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,14,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-large_mu,16,linear,linear,2
diff_mean_tiny_covariance_gap,MY-large_mu,16,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,20,linear,linear,2
diff_mean_tiny_covariance_gap,MY-large_mu,20,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,24,linear,linear,1
diff_mean_tiny_covariance_gap,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-large_mu,24,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-large_mu,28,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-large_mu,32,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,1,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,2,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,3,linear,linear,2
diff_mean_tiny_covariance_gap,MY-small_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,4,linear,linear,2
diff_mean_tiny_covariance_gap,MY-small_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,5,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,5,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,6,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,6,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,6,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054530536777348)",1
diff_mean_tiny_covariance_gap,MY-small_mu,7,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,8,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,8,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,8,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,10,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,10,rbf,rbf(gamma=0.0017035186347248033),1
diff_mean_tiny_covariance_gap,MY-small_mu,10,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017054574491412824)",1
diff_mean_tiny_covariance_gap,MY-small_mu,12,laplacian,laplacian(gamma=0.0017054530536777348),1
diff_mean_tiny_covariance_gap,MY-small_mu,12,linear,linear,1
diff_mean_tiny_covariance_gap,MY-small_mu,12,sigmoid,"sigmoid(coef0=0.0, gamma=0.0017035186347248033)",1
diff_mean_tiny_covariance_gap,MY-small_mu,14,linear,linear,2
diff_mean_tiny_covariance_gap,MY-small_mu,14,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0017054574491412824)",1
