variant,r,stage1_kernel,stage1_params,stage1_label,val_acc,best_svm_kernel,best_svm_params,diag,regime,repeat
MY-large_mu,1,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5757575757575758,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([10036.2675])}",strong500,2
MY-large_mu,1,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5696969696969697,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([61492.5546])}",strong500,2
MY-large_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5818181818181818,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'gvals': array([6460.8957])}",strong500,2
MY-large_mu,1,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5151515151515151,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'gvals': array([1.4257e+09])}",strong500,2
MY-large_mu,2,linear,{},linear,0.5393939393939394,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0026, 0.004 ]), 'lambdas': array([0.0026, 0.004 ]), 'gvals': array([187.0815, 123.3123])}",strong500,2
MY-large_mu,2,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.593939393939394,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.0001]), 'lambdas': array([0.    , 0.0001]), 'gvals': array([45546.8618,  7197.494 ])}",strong500,2
MY-large_mu,2,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5818181818181818,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0001]), 'lambdas': array([0.0001, 0.0001]), 'gvals': array([7243.0479, 3561.3185])}",strong500,2
MY-large_mu,2,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.6333333333333333,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0002, 0.0007]), 'lambdas': array([0.0002, 0.0007]), 'gvals': array([2561.5641,  715.7044])}",strong500,2
MY-large_mu,2,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.593939393939394,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0016]), 'lambdas': array([0.    , 0.0016]), 'gvals': array([3.2977e+08, 3.0073e+02])}",strong500,2
MY-large_mu,3,linear,{},linear,0.5636363636363636,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0013, 0.0035, 0.0052]), 'lambdas': array([0.0013, 0.0035, 0.0052]), 'gvals': array([371.9508, 138.8779,  93.3185])}",strong500,2
MY-large_mu,3,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.6121212121212121,rbf,"{'C': 1.0, 'gamma': 0.5}","{'thetas': array([0.    , 0.0001, 0.0002]), 'lambdas': array([0.    , 0.0001, 0.0002]), 'gvals': array([28680.5901,  7250.2448,  2026.3891])}",strong500,2
MY-large_mu,3,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5393939393939394,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0002, 0.0003]), 'lambdas': array([0.0001, 0.0002, 0.0003]), 'gvals': array([3677.3232, 2118.3402, 1635.5703])}",strong500,2
MY-large_mu,3,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5757575757575758,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0006, 0.0008, 0.0014]), 'lambdas': array([0.0006, 0.0008, 0.0014]), 'gvals': array([839.2292, 647.1618, 347.1241])}",strong500,2
MY-large_mu,3,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5515151515151515,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.0078, 0.0098, 0.012 ]), 'lambdas': array([0.0078, 0.0098, 0.012 ]), 'gvals': array([61.2434, 48.1486, 38.7901])}",strong500,2
MY-large_mu,4,linear,{},linear,0.5696969696969697,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0018, 0.003 , 0.0056, 0.0098]), 'lambdas': array([0.0018, 0.003 , 0.0056, 0.0098]), 'gvals': array([274.5718, 160.5932,  86.0168,  48.3313])}",strong500,2
MY-large_mu,4,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5818181818181818,poly,"{'C': 2.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.    , 0.    , 0.0001, 0.0002]), 'lambdas': array([0.    , 0.    , 0.0001, 0.0002]), 'gvals': array([100184.2776,  27298.2185,   3514.    ,   2179.7376])}",strong500,2
MY-large_mu,4,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5515151515151515,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001, 0.0001, 0.0002]), 'lambdas': array([0.    , 0.0001, 0.0001, 0.0002]), 'gvals': array([29982.6135,  5969.2654,  3407.5666,  2588.3   ])}",strong500,2
MY-large_mu,4,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5666666666666667,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001, 0.0003, 0.0014, 0.0015]), 'lambdas': array([0.0001, 0.0003, 0.0014, 0.0015]), 'gvals': array([8281.9742, 1753.5972,  342.6326,  333.8459])}",strong500,2
MY-large_mu,4,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5787878787878787,poly,"{'C': 1.0, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.004 , 0.0048, 0.0143, 0.0164]), 'lambdas': array([0.004 , 0.0048, 0.0143, 0.0164]), 'gvals': array([122.4924, 101.4106,  32.3739,  27.8938])}",strong500,2
MY-small_mu,1,linear,{},linear,0.5454545454545454,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0002]), 'lambdas': array([0.0002]), 'D_scores': array([2035.9373])}",strong500,2
MY-small_mu,1,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5121212121212121,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'D_scores': array([10036.2908])}",strong500,2
MY-small_mu,1,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5515151515151515,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.]), 'lambdas': array([0.]), 'D_scores': array([61492.5574])}",strong500,2
MY-small_mu,1,polynomial,"{'degree': 2, 'gamma': 0.0016660665160696936, 'coef0': 1.0}","polynomial(coef0=1.0, degree=2, gamma=0.0016660665160696936)",0.5151515151515151,poly,"{'C': 0.5, 'gamma': 'scale', 'degree': 2, 'coef0': 1.0}","{'thetas': array([0.0001]), 'lambdas': array([0.0001]), 'D_scores': array([6461.173])}",strong500,2
MY-small_mu,1,sigmoid,"{'gamma': 0.0016660665160696936, 'coef0': 0.0}","sigmoid(coef0=0.0, gamma=0.0016660665160696936)",0.5818181818181818,rbf,"{'C': 0.5, 'gamma': 0.5}","{'thetas': array([0.]), 'lambdas': array([0.]), 'D_scores': array([1.4257e+09])}",strong500,2
MY-small_mu,2,linear,{},linear,0.5757575757575758,rbf,"{'C': 0.5, 'gamma': 'scale'}","{'thetas': array([0.0026, 0.004 ]), 'lambdas': array([0.0026, 0.004 ]), 'D_scores': array([187.2137, 123.3207])}",strong500,2
MY-small_mu,2,rbf,{'gamma': 0.0016660665160696936},rbf(gamma=0.0016660665160696936),0.5,rbf,"{'C': 2.0, 'gamma': 'scale'}","{'thetas': array([0.    , 0.0001]), 'lambdas': array([0.    , 0.0001]), 'D_scores': array([45547.2025,  7197.5156])}",strong500,2
MY-small_mu,2,laplacian,{'gamma': 0.0016660665160696936},laplacian(gamma=0.0016660665160696936),0.5363636363636364,rbf,"{'C': 1.0, 'gamma': 'scale'}","{'thetas': array([0.0001, 0.0001]), 'lambdas': array([0.0001, 0.0001]), 'D_scores': array([7243.1204, 3561.3554])}",strong500,2
