index,regime,variant,r,validation_seconds_mean,validation_seconds_std,n_repeats,refit_seconds_mean,refit_seconds_std,total_seconds_mean,total_seconds_std
55,same_mean_diff_covariance,MY-large_mu,1,0.4938629443058744,0.010247997857729289,3,0.1945226666672776,0.019098403387298294,0.6883860136537502,0.02337339262787228
56,same_mean_diff_covariance,MY-large_mu,2,0.4820731946577628,0.029670921547370038,3,0.21143768033167967,0.008169223095541774,0.6935111669978747,0.02862033544753928
57,same_mean_diff_covariance,MY-large_mu,3,0.48935499996878207,0.009424054723880219,3,0.1790655276660497,0.023659612454979394,0.668420777306892,0.014631948925296269
58,same_mean_diff_covariance,MY-large_mu,4,0.5141892226723334,0.012994709747718842,3,0.18382723602311066,0.029275422471116343,0.6980167363459865,0.041770384583971545
59,same_mean_diff_covariance,MY-large_mu,5,0.5193986389786005,0.023349136625077645,3,0.19330495836523673,0.003376450461660432,0.7127037919514502,0.020104922495554328
60,same_mean_diff_covariance,MY-large_mu,6,0.5468414446804672,0.04053823483916775,3,0.18589425001603863,0.020103408071466475,0.7327361390537893,0.05657157220246208
61,same_mean_diff_covariance,MY-large_mu,7,0.5375897499422232,0.008662514829134061,3,0.18793169467244297,0.017670182745075255,0.7255216529980922,0.021402932688481688
62,same_mean_diff_covariance,MY-large_mu,8,0.5702963609946892,0.025575835334202893,3,0.1979027499910444,0.027725478763172325,0.768199347347642,0.05236343800245304
63,same_mean_diff_covariance,MY-large_mu,10,0.6222592913157617,0.03977754476171527,3,0.22779408333978304,0.008509756622238846,0.85005351404349,0.04713568204237332
64,same_mean_diff_covariance,MY-large_mu,12,0.648802417020003,0.025958541637094285,3,0.22478444466833025,0.0031016959652243243,0.873587083343106,0.022963452163459117
65,same_mean_diff_covariance,MY-large_mu,14,0.6811983056832105,0.024454293146784618,3,0.23444386094342917,0.010029038308291745,0.9156424863419185,0.02320693562021411
66,same_mean_diff_covariance,MY-large_mu,16,0.7324923886529481,0.013175193026292364,3,0.24563590301355967,0.012847694790373817,0.978128583325694,0.0151895255006973
67,same_mean_diff_covariance,MY-large_mu,20,0.7953741803454856,0.017911461578311506,3,0.25841606967151165,0.00937201656629793,1.0537904580123723,0.017373499483320416
68,same_mean_diff_covariance,MY-small_mu,1,0.4959086806435759,0.029701399838538072,3,0.1952599446522072,0.008093855519294516,0.6911690139677376,0.03474723830181436
69,same_mean_diff_covariance,MY-small_mu,2,0.4870286526856944,0.00960934678350517,3,0.17843105535333356,0.008162708001486215,0.6654601803747937,0.014185201826532254
70,same_mean_diff_covariance,MY-small_mu,3,0.5237699720310047,0.04706973861631694,3,0.18450294400099665,0.011633183584225998,0.708273333342125,0.041863581991505625
71,same_mean_diff_covariance,MY-small_mu,4,0.5368435279621432,0.0224234442555268,3,0.19162558337363103,0.02693512102281987,0.7284694999689236,0.049351704839752986
72,same_mean_diff_covariance,MY-small_mu,5,0.526193694366763,0.007923281661350623,3,0.19642650002303222,0.016679705546979222,0.7226205556265389,0.012918902790310478
73,same_mean_diff_covariance,MY-small_mu,6,0.5485781667133173,0.010501835497256348,3,0.17817725000592569,0.010579119913182463,0.7267557497058684,0.017762257782731397
74,same_mean_diff_covariance,MY-small_mu,7,0.5494086946127936,0.013962662840629832,3,0.1927163330061982,0.0069525056359539105,0.7421253196274241,0.011218852399433453
75,same_mean_diff_covariance,MY-small_mu,8,0.5606642917264253,0.005217262938717916,3,0.19682622231387845,0.01298773661181866,0.7574907776822025,0.016589108044415768
76,same_mean_diff_covariance,MY-small_mu,10,0.5926878469763324,0.005781752530697325,3,0.20638429171716174,0.017827797879474024,0.7990724863484502,0.01701132992103917
77,same_mean_diff_covariance,MY-small_mu,12,0.6390594440357139,0.012911528547670213,3,0.2307858330120022,0.005201486256100263,0.8698456110044693,0.01597486787398321
78,same_mean_diff_covariance,MY-small_mu,14,0.6841536387025068,0.008745777901938012,3,0.2480768886550019,0.008730091409515575,0.9322309583270302,0.01736215214315894
79,same_mean_diff_covariance,MY-small_mu,16,0.7045094026640678,0.024198673615441646,3,0.23462530532075712,0.013824866612217789,0.9391349720147749,0.03642740616772892
80,same_mean_diff_covariance,MY-small_mu,20,0.7603404723340645,0.021680246327638646,3,0.24946043003971377,0.005751195507449207,1.009801263998573,0.022420180107483936
