regime,repeat,variant,r,validation_seconds,refit_seconds,total_seconds
diff_mean_tiny_covariance_gap,2,MY-large_mu,32,0.45239699992816895,0.16579212492797524,0.6181893339380622
diff_mean_tiny_covariance_gap,2,MY-large_mu,64,0.4984168750233948,0.2171818339265883,0.7155989169841632
diff_mean_tiny_covariance_gap,2,MY-small_mu,1,0.3140187080716714,0.09462408302351832,0.4086430830648169
diff_mean_tiny_covariance_gap,2,MY-small_mu,2,0.2679770829854533,0.14604233298450708,0.41401966696139425
diff_mean_tiny_covariance_gap,2,MY-small_mu,3,0.3969494579359889,0.1380854999879375,0.5350351249799132
diff_mean_tiny_covariance_gap,2,MY-small_mu,4,0.3243806669488549,0.12470304092857987,0.44908395898528397
diff_mean_tiny_covariance_gap,2,MY-small_mu,8,0.29684220906347036,0.14152420894242823,0.438366667018272
diff_mean_tiny_covariance_gap,2,MY-small_mu,16,0.404754834016785,0.1815947089344263,0.5863499999977648
diff_mean_tiny_covariance_gap,2,MY-small_mu,32,0.44251037505455315,0.14211862499359995,0.5846292079659179
diff_mean_tiny_covariance_gap,2,MY-small_mu,64,0.558663500007242,0.2396507499506697,0.7983148749917746
diff_mean_tiny_covariance_gap,3,KFDA-1D,1,0.21984654199332,0.05748766695614904,0.27733458403963596
diff_mean_tiny_covariance_gap,3,MY-large_mu,1,0.24482587492093444,0.11806787503883243,0.3628939999034628
diff_mean_tiny_covariance_gap,3,MY-large_mu,2,0.27086383290588856,0.09358712506946176,0.3644510409794748
diff_mean_tiny_covariance_gap,3,MY-large_mu,3,0.30323554191272706,0.13158458401449025,0.434820624999702
diff_mean_tiny_covariance_gap,3,MY-large_mu,4,0.3057454579975456,0.10769033303949982,0.41343587497249246
diff_mean_tiny_covariance_gap,3,MY-large_mu,8,0.3354322090744972,0.15018154203426093,0.48561391700059175
diff_mean_tiny_covariance_gap,3,MY-large_mu,16,0.4096129999961704,0.1509587080217898,0.560572125017643
diff_mean_tiny_covariance_gap,3,MY-large_mu,32,0.4361552079208195,0.2103549171006307,0.6465103749651462
diff_mean_tiny_covariance_gap,3,MY-large_mu,64,0.5784160410985351,0.20216208300553262,0.7805785411037505
diff_mean_tiny_covariance_gap,3,MY-small_mu,1,0.2524601669283584,0.12141820904798806,0.373878667014651
diff_mean_tiny_covariance_gap,3,MY-small_mu,2,0.27071079204324633,0.13457858399488032,0.40529000002425164
diff_mean_tiny_covariance_gap,3,MY-small_mu,3,0.27121741604059935,0.11057537503074855,0.38179304101504385
diff_mean_tiny_covariance_gap,3,MY-small_mu,4,0.2997544170357287,0.11095183296129107,0.4107064170530066
diff_mean_tiny_covariance_gap,3,MY-small_mu,8,0.3099634579848498,0.14072170900180936,0.4506853750208393
diff_mean_tiny_covariance_gap,3,MY-small_mu,16,0.38606720801908523,0.15235975000541657,0.5384270829381421
diff_mean_tiny_covariance_gap,3,MY-small_mu,32,0.4959982909495011,0.3364043749170378,0.8324030409567058
diff_mean_tiny_covariance_gap,3,MY-small_mu,64,0.7321448749862611,0.19977370800916106,0.931919083930552
