task,rep,family,method,algo,r,stage1_kernel,acc,openml_id
banana,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.6193396226415094,1460
banana,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.6254716981132076,1460
banana,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.7740566037735849,1460
banana,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.7924528301886793,1460
banana,0,KFDA,KFDA-1D,kfda,1,laplacian,0.6683962264150943,1460
banana,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.8339622641509434,1460
banana,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.8377358490566038,1460
banana,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.8575471698113207,1460
banana,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.8589622641509433,1460
banana,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.8650943396226415,1460
banana,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.8650943396226415,1460
banana,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.8825471698113208,1460
banana,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.894811320754717,1460
banana,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.6528301886792452,1460
banana,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6839622641509434,1460
banana,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.719811320754717,1460
banana,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.7495283018867924,1460
banana,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.7646226415094339,1460
banana,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.7995283018867925,1460
banana,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.8811320754716981,1460
banana,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.894811320754717,1460
breast-cancer,0,KFDA,KFDA-1D,kfda,1,linear,0.6782608695652174,13
breast-cancer,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.7043478260869566,13
breast-cancer,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.7043478260869566,13
breast-cancer,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.7043478260869566,13
breast-cancer,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.6086956521739131,13
breast-cancer,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.7043478260869566,13
breast-cancer,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.6608695652173913,13
breast-cancer,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.6434782608695652,13
breast-cancer,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.6869565217391305,13
breast-cancer,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.7043478260869566,13
breast-cancer,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.7043478260869566,13
breast-cancer,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.6086956521739131,13
breast-cancer,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.6347826086956522,13
breast-cancer,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.6521739130434783,13
breast-cancer,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.7043478260869566,13
breast-cancer,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.6695652173913044,13
breast-cancer,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.7130434782608696,13
breast-cancer,0,KFDA,KFDA-1D,kfda,1,rbf,0.7217391304347827,13
breast-cancer,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.6521739130434783,13
breast-cancer,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.6347826086956522,13
breast-cancer,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.6173913043478261,13
breast-cancer,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.6434782608695652,13
breast-cancer,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.6782608695652174,13
breast-cancer,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.6695652173913044,13
breast-cancer,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.7130434782608696,13
breast-cancer,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.7217391304347827,13
breast-cancer,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.5478260869565217,13
breast-cancer,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.5391304347826087,13
breast-cancer,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6086956521739131,13
breast-cancer,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6347826086956522,13
breast-cancer,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.6260869565217392,13
breast-cancer,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.6086956521739131,13
breast-cancer,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.7130434782608696,13
breast-cancer,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.7217391304347827,13
breast-cancer,0,KFDA,KFDA-1D,kfda,1,laplacian,0.6869565217391305,13
breast-cancer,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.5304347826086957,13
breast-cancer,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.6521739130434783,13
breast-cancer,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.6695652173913044,13
breast-cancer,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.6782608695652174,13
breast-cancer,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.6434782608695652,13
breast-cancer,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.6869565217391305,13
breast-cancer,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.6695652173913044,13
breast-cancer,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.7217391304347827,13
breast-cancer,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.5739130434782609,13
breast-cancer,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.6173913043478261,13
breast-cancer,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6695652173913044,13
breast-cancer,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.6521739130434783,13
breast-cancer,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.6695652173913044,13
breast-cancer,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.6956521739130435,13
breast-cancer,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.6521739130434783,13
breast-cancer,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.7217391304347827,13
breast-w,0,KFDA,KFDA-1D,kfda,1,linear,0.9714285714285714,15
breast-w,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.9714285714285714,15
breast-w,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.9642857142857143,15
breast-w,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.9642857142857143,15
breast-w,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.9642857142857143,15
breast-w,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.85,15
breast-w,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.8857142857142857,15
breast-w,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.9214285714285714,15
breast-w,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.95,15
breast-w,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.95,15
breast-w,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.9571428571428572,15
breast-w,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.9607142857142857,15
breast-w,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.9607142857142857,15
breast-w,0,KFDA,KFDA-1D,kfda,1,rbf,0.9678571428571429,15
breast-w,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.9535714285714286,15
breast-w,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.9571428571428572,15
breast-w,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.9464285714285714,15
breast-w,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.9535714285714286,15
breast-w,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.9392857142857143,15
breast-w,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.9464285714285714,15
breast-w,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.675,15
breast-w,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.7,15
breast-w,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.7392857142857143,15
breast-w,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.7571428571428571,15
breast-w,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.7678571428571429,15
breast-w,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.7857142857142857,15
breast-w,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.7964285714285714,15
breast-w,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.9142857142857143,15
breast-w,0,KFDA,KFDA-1D,kfda,1,laplacian,0.975,15
breast-w,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.9678571428571429,15
breast-w,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.9642857142857143,15
breast-w,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.9607142857142857,15
breast-w,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.9535714285714286,15
breast-w,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.9535714285714286,15
breast-w,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.9535714285714286,15
breast-w,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.95,15
breast-w,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.95,15
breast-w,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.6178571428571429,15
breast-w,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.675,15
breast-w,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6642857142857143,15
breast-w,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.7142857142857143,15
breast-w,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.7428571428571429,15
breast-w,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.75,15
breast-w,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.8892857142857142,15
breast-w,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.9535714285714286,15
diabetes,0,KFDA,KFDA-1D,kfda,1,linear,0.7435064935064936,37
diabetes,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.75,37
diabetes,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.7467532467532467,37
diabetes,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.7435064935064936,37
diabetes,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.7402597402597403,37
diabetes,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.7402597402597403,37
diabetes,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.724025974025974,37
diabetes,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.7142857142857143,37
diabetes,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.762987012987013,37
diabetes,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.6688311688311688,37
diabetes,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.672077922077922,37
diabetes,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.672077922077922,37
diabetes,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.6688311688311688,37
diabetes,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.672077922077922,37
diabetes,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.6396103896103896,37
diabetes,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.7435064935064936,37
diabetes,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.7597402597402597,37
diabetes,0,KFDA,KFDA-1D,kfda,1,rbf,0.7175324675324676,37
diabetes,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.6655844155844156,37
diabetes,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.6590909090909091,37
diabetes,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.6558441558441559,37
diabetes,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.6396103896103896,37
diabetes,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.6525974025974026,37
diabetes,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.6623376623376623,37
diabetes,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.6525974025974026,37
diabetes,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.711038961038961,37
diabetes,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.6525974025974026,37
diabetes,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.5746753246753247,37
diabetes,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6071428571428571,37
diabetes,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6233766233766234,37
diabetes,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.6298701298701299,37
diabetes,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.6428571428571429,37
diabetes,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.6525974025974026,37
diabetes,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.6915584415584416,37
diabetes,0,KFDA,KFDA-1D,kfda,1,laplacian,0.724025974025974,37
diabetes,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.7045454545454546,37
diabetes,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.698051948051948,37
diabetes,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.7012987012987013,37
diabetes,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.698051948051948,37
diabetes,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.6915584415584416,37
diabetes,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.672077922077922,37
diabetes,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.7077922077922078,37
diabetes,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.7467532467532467,37
diabetes,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.5487012987012987,37
diabetes,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.5974025974025974,37
diabetes,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.6461038961038961,37
diabetes,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.6753246753246753,37
diabetes,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.6590909090909091,37
diabetes,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.6623376623376623,37
diabetes,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.7012987012987013,37
diabetes,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.7532467532467533,37
credit-g,0,KFDA,KFDA-1D,kfda,1,linear,0.725,31
credit-g,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.7025,31
credit-g,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.705,31
credit-g,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.705,31
credit-g,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.715,31
credit-g,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.69,31
credit-g,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.695,31
credit-g,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.7,31
credit-g,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.6775,31
credit-g,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.695,31
credit-g,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.7025,31
credit-g,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.7075,31
credit-g,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.6925,31
credit-g,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.69,31
credit-g,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.685,31
credit-g,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.655,31
credit-g,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.6775,31
credit-g,0,KFDA,KFDA-1D,kfda,1,rbf,0.7225,31
credit-g,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.6925,31
credit-g,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.7,31
credit-g,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.705,31
credit-g,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.7,31
credit-g,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.6975,31
credit-g,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.7075,31
credit-g,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.7,31
credit-g,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.7075,31
credit-g,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.695,31
credit-g,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.7075,31
credit-g,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.71,31
credit-g,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.7,31
credit-g,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.695,31
credit-g,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.71,31
credit-g,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.7025,31
credit-g,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.7075,31
credit-g,0,KFDA,KFDA-1D,kfda,1,laplacian,0.6975,31
credit-g,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.73,31
credit-g,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.725,31
credit-g,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.725,31
credit-g,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.7175,31
credit-g,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.73,31
credit-g,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.7075,31
credit-g,0,MY-large_mu,MY-large_mu-r32,large_mu,32,laplacian,0.72,31
credit-g,0,MY-large_mu,MY-large_mu-r64,large_mu,64,laplacian,0.7075,31
credit-g,0,MY-small_mu,MY-small_mu-r1,small_mu,1,laplacian,0.705,31
credit-g,0,MY-small_mu,MY-small_mu-r2,small_mu,2,laplacian,0.7025,31
credit-g,0,MY-small_mu,MY-small_mu-r3,small_mu,3,laplacian,0.695,31
credit-g,0,MY-small_mu,MY-small_mu-r4,small_mu,4,laplacian,0.7075,31
credit-g,0,MY-small_mu,MY-small_mu-r5,small_mu,5,laplacian,0.6875,31
credit-g,0,MY-small_mu,MY-small_mu-r6,small_mu,6,laplacian,0.7,31
credit-g,0,MY-small_mu,MY-small_mu-r32,small_mu,32,laplacian,0.7125,31
credit-g,0,MY-small_mu,MY-small_mu-r64,small_mu,64,laplacian,0.7,31
heart-statlog,0,KFDA,KFDA-1D,kfda,1,linear,0.8148148148148148,53
heart-statlog,0,MY-large_mu,MY-large_mu-r1,large_mu,1,linear,0.7777777777777778,53
heart-statlog,0,MY-large_mu,MY-large_mu-r2,large_mu,2,linear,0.7685185185185185,53
heart-statlog,0,MY-large_mu,MY-large_mu-r3,large_mu,3,linear,0.7592592592592593,53
heart-statlog,0,MY-large_mu,MY-large_mu-r4,large_mu,4,linear,0.7777777777777778,53
heart-statlog,0,MY-large_mu,MY-large_mu-r5,large_mu,5,linear,0.7685185185185185,53
heart-statlog,0,MY-large_mu,MY-large_mu-r6,large_mu,6,linear,0.7777777777777778,53
heart-statlog,0,MY-large_mu,MY-large_mu-r32,large_mu,32,linear,0.7870370370370371,53
heart-statlog,0,MY-large_mu,MY-large_mu-r64,large_mu,64,linear,0.7870370370370371,53
heart-statlog,0,MY-small_mu,MY-small_mu-r1,small_mu,1,linear,0.6759259259259259,53
heart-statlog,0,MY-small_mu,MY-small_mu-r2,small_mu,2,linear,0.6666666666666666,53
heart-statlog,0,MY-small_mu,MY-small_mu-r3,small_mu,3,linear,0.6759259259259259,53
heart-statlog,0,MY-small_mu,MY-small_mu-r4,small_mu,4,linear,0.6759259259259259,53
heart-statlog,0,MY-small_mu,MY-small_mu-r5,small_mu,5,linear,0.6759259259259259,53
heart-statlog,0,MY-small_mu,MY-small_mu-r6,small_mu,6,linear,0.6481481481481481,53
heart-statlog,0,MY-small_mu,MY-small_mu-r32,small_mu,32,linear,0.7222222222222222,53
heart-statlog,0,MY-small_mu,MY-small_mu-r64,small_mu,64,linear,0.7314814814814815,53
heart-statlog,0,KFDA,KFDA-1D,kfda,1,rbf,0.8333333333333334,53
heart-statlog,0,MY-large_mu,MY-large_mu-r1,large_mu,1,rbf,0.7592592592592593,53
heart-statlog,0,MY-large_mu,MY-large_mu-r2,large_mu,2,rbf,0.7129629629629629,53
heart-statlog,0,MY-large_mu,MY-large_mu-r3,large_mu,3,rbf,0.7222222222222222,53
heart-statlog,0,MY-large_mu,MY-large_mu-r4,large_mu,4,rbf,0.7222222222222222,53
heart-statlog,0,MY-large_mu,MY-large_mu-r5,large_mu,5,rbf,0.6481481481481481,53
heart-statlog,0,MY-large_mu,MY-large_mu-r6,large_mu,6,rbf,0.6481481481481481,53
heart-statlog,0,MY-large_mu,MY-large_mu-r32,large_mu,32,rbf,0.5648148148148148,53
heart-statlog,0,MY-large_mu,MY-large_mu-r64,large_mu,64,rbf,0.7777777777777778,53
heart-statlog,0,MY-small_mu,MY-small_mu-r1,small_mu,1,rbf,0.5185185185185185,53
heart-statlog,0,MY-small_mu,MY-small_mu-r2,small_mu,2,rbf,0.6574074074074074,53
heart-statlog,0,MY-small_mu,MY-small_mu-r3,small_mu,3,rbf,0.6481481481481481,53
heart-statlog,0,MY-small_mu,MY-small_mu-r4,small_mu,4,rbf,0.6203703703703703,53
heart-statlog,0,MY-small_mu,MY-small_mu-r5,small_mu,5,rbf,0.6018518518518519,53
heart-statlog,0,MY-small_mu,MY-small_mu-r6,small_mu,6,rbf,0.6203703703703703,53
heart-statlog,0,MY-small_mu,MY-small_mu-r32,small_mu,32,rbf,0.7129629629629629,53
heart-statlog,0,MY-small_mu,MY-small_mu-r64,small_mu,64,rbf,0.7129629629629629,53
heart-statlog,0,KFDA,KFDA-1D,kfda,1,laplacian,0.7962962962962963,53
heart-statlog,0,MY-large_mu,MY-large_mu-r1,large_mu,1,laplacian,0.6944444444444444,53
heart-statlog,0,MY-large_mu,MY-large_mu-r2,large_mu,2,laplacian,0.7962962962962963,53
heart-statlog,0,MY-large_mu,MY-large_mu-r3,large_mu,3,laplacian,0.7962962962962963,53
heart-statlog,0,MY-large_mu,MY-large_mu-r4,large_mu,4,laplacian,0.7777777777777778,53
heart-statlog,0,MY-large_mu,MY-large_mu-r5,large_mu,5,laplacian,0.7592592592592593,53
heart-statlog,0,MY-large_mu,MY-large_mu-r6,large_mu,6,laplacian,0.7870370370370371,53
