regime,rep,kernel,true_mean_gap_input,emp_mean_gap_input,true_cov_gap_input,emp_cov_gap_input,cov_gap_error_input,cov0_error_input,cov1_error_input,ref_D_mu_feature,emp_D_mu_feature,ref_D_sigma_feature,emp_D_sigma_feature,cov_gap_error_feature,cov0_error_feature,cov1_error_feature
same_mean_diff_covariance,2,polynomial,0.0,1.3896593223550545e-16,5.894205463541342,7.108780899529834,3.2047501474777644,2.161068390087708,2.4144819875868038,0.24167032310947723,0.27838459548675437,0.5151161223478095,0.6043395344227463,0.33567921039436177,0.21131693551371988,0.2668956456696606
same_mean_diff_covariance,2,sigmoid,0.0,1.3896593223550545e-16,5.894205463541342,7.108780899529834,3.2047501474777644,2.161068390087708,2.4144819875868038,1.8496755188046572e-10,7.899935859951962e-10,0.1977144592906377,0.22135868572325787,0.08918528368923659,0.06240118208065115,0.06792487440779223
diff_mean_diff_covariance,0,linear,0.9000000000000001,0.8999999999999999,5.7275360341928305,6.450722814617773,3.6692799837505974,2.635921983588553,2.613159169608206,0.9000000000000002,0.9000000000000001,5.7868234718909,6.421401347278601,4.039328247635638,2.8563895736437073,2.8240030239054583
diff_mean_diff_covariance,0,rbf,0.9000000000000001,0.8999999999999999,5.7275360341928305,6.450722814617773,3.6692799837505974,2.635921983588553,2.613159169608206,0.14462385307279954,0.16073689921050155,0.07735775801211142,0.10583811127554066,0.0862265777085131,0.06241647453332127,0.06014331098174685
diff_mean_diff_covariance,0,laplacian,0.9000000000000001,0.8999999999999999,5.7275360341928305,6.450722814617773,3.6692799837505974,2.635921983588553,2.613159169608206,0.09995062622912529,0.11565037278624139,0.04788378478448926,0.07255546733212215,0.06471879338795401,0.046255207875125846,0.04549438534462461
diff_mean_diff_covariance,0,polynomial,0.9000000000000001,0.8999999999999999,5.7275360341928305,6.450722814617773,3.6692799837505974,2.635921983588553,2.613159169608206,0.333837214744701,0.3505010230938935,0.48750393389585345,0.5478813537354608,0.36433293039678605,0.2565438091049713,0.25636830027104496
diff_mean_diff_covariance,0,sigmoid,0.9000000000000001,0.8999999999999999,5.7275360341928305,6.450722814617773,3.6692799837505974,2.635921983588553,2.613159169608206,0.17082726011386876,0.1707027163667419,0.18539680955274318,0.20145479744247966,0.10713687390203146,0.07778219723152785,0.07286522431605211
diff_mean_diff_covariance,1,linear,0.9000000000000001,0.9,5.7275360341928305,6.813278800751566,3.578730668770292,2.4082581657395994,2.876139595459717,0.9000000000000002,0.9000000000000001,5.7868234718909,6.782309351657242,4.083310308300175,2.766344262080231,3.2050392223062385
diff_mean_diff_covariance,1,rbf,0.9000000000000001,0.9,5.7275360341928305,6.813278800751566,3.578730668770292,2.4082581657395994,2.876139595459717,0.14462385307279954,0.1577346966228449,0.07735775801211142,0.10374239151933287,0.0852397550173447,0.061525771012561695,0.059490190827544226
diff_mean_diff_covariance,1,laplacian,0.9000000000000001,0.9,5.7275360341928305,6.813278800751566,3.578730668770292,2.4082581657395994,2.876139595459717,0.09995062622912529,0.11449986203164005,0.04788378478448926,0.07250069247429135,0.06505217129439105,0.04574737705885518,0.04638527334755949
