index,regime,variant,r,stage1_kernel,stage1_label,mean,std,n_repeats
43,oldstyle_diff_mean_scale_gap,MY-small_mu,4,rbf,rbf(gamma=0.0029468115110298557),0.8316,,1
44,oldstyle_diff_mean_scale_gap,MY-small_mu,4,sigmoid,"sigmoid(coef0=0.0, gamma=0.0029468115110298557)",0.5348,,1
45,oldstyle_same_mean_scale_gap,KFDA-1D,1,laplacian,laplacian(gamma=0.0026367644557403077),0.998,,1
46,oldstyle_same_mean_scale_gap,KFDA-1D,1,linear,linear,0.5808,,1
47,oldstyle_same_mean_scale_gap,KFDA-1D,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.6732,,1
48,oldstyle_same_mean_scale_gap,KFDA-1D,1,rbf,rbf(gamma=0.0026367644557403077),0.9996,,1
49,oldstyle_same_mean_scale_gap,KFDA-1D,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6296,,1
50,oldstyle_same_mean_scale_gap,MY-large_mu,1,laplacian,laplacian(gamma=0.0026367644557403077),0.7336,,1
51,oldstyle_same_mean_scale_gap,MY-large_mu,1,linear,linear,0.646,,1
52,oldstyle_same_mean_scale_gap,MY-large_mu,1,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.6684,,1
53,oldstyle_same_mean_scale_gap,MY-large_mu,1,rbf,rbf(gamma=0.0026367644557403077),0.9992,,1
54,oldstyle_same_mean_scale_gap,MY-large_mu,1,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6532,,1
55,oldstyle_same_mean_scale_gap,MY-large_mu,2,laplacian,laplacian(gamma=0.0026367644557403077),0.826,,1
56,oldstyle_same_mean_scale_gap,MY-large_mu,2,linear,linear,0.6292,,1
57,oldstyle_same_mean_scale_gap,MY-large_mu,2,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.6562,,1
58,oldstyle_same_mean_scale_gap,MY-large_mu,2,rbf,rbf(gamma=0.0026367644557403077),0.9994,,1
59,oldstyle_same_mean_scale_gap,MY-large_mu,2,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6368,,1
60,oldstyle_same_mean_scale_gap,MY-large_mu,3,laplacian,laplacian(gamma=0.0026367644557403077),0.818,,1
61,oldstyle_same_mean_scale_gap,MY-large_mu,3,linear,linear,0.6676,,1
62,oldstyle_same_mean_scale_gap,MY-large_mu,3,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.6622,,1
63,oldstyle_same_mean_scale_gap,MY-large_mu,3,rbf,rbf(gamma=0.0026367644557403077),0.999,,1
64,oldstyle_same_mean_scale_gap,MY-large_mu,3,sigmoid,"sigmoid(coef0=0.0, gamma=0.0026367644557403077)",0.6152,,1
65,oldstyle_same_mean_scale_gap,MY-large_mu,4,laplacian,laplacian(gamma=0.0026367644557403077),0.791,,1
66,oldstyle_same_mean_scale_gap,MY-large_mu,4,linear,linear,0.6544,,1
67,oldstyle_same_mean_scale_gap,MY-large_mu,4,polynomial,"polynomial(coef0=1.0, degree=2, gamma=0.0026367644557403077)",0.6686,,1
