pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
cat vs dog,cat,dog,0,large_mu,16,polynomial,0.8075,1.0
cat vs dog,cat,dog,0,large_mu,24,polynomial,0.805,0.1
cat vs dog,cat,dog,0,large_mu,1,sigmoid,0.62,0.1
cat vs dog,cat,dog,0,large_mu,2,sigmoid,0.6075,0.1
cat vs dog,cat,dog,0,large_mu,4,sigmoid,0.585,0.1
cat vs dog,cat,dog,0,large_mu,6,sigmoid,0.57,0.1
cat vs dog,cat,dog,0,large_mu,8,sigmoid,0.56,0.1
cat vs dog,cat,dog,0,large_mu,10,sigmoid,0.545,10.0
cat vs dog,cat,dog,0,large_mu,16,sigmoid,0.545,0.1
cat vs dog,cat,dog,0,large_mu,24,sigmoid,0.5625,0.1
cat vs dog,cat,dog,0,small_mu,1,linear,0.525,0.1
cat vs dog,cat,dog,0,small_mu,2,linear,0.54,0.1
cat vs dog,cat,dog,0,small_mu,4,linear,0.56,0.1
cat vs dog,cat,dog,0,small_mu,6,linear,0.5525,0.1
cat vs dog,cat,dog,0,small_mu,8,linear,0.535,1.0
cat vs dog,cat,dog,0,small_mu,10,linear,0.55,0.1
cat vs dog,cat,dog,0,small_mu,16,linear,0.58,0.1
cat vs dog,cat,dog,0,small_mu,24,linear,0.63,0.1
cat vs dog,cat,dog,0,small_mu,1,rbf,0.5425,0.1
cat vs dog,cat,dog,0,small_mu,2,rbf,0.565,0.1
cat vs dog,cat,dog,0,small_mu,4,rbf,0.59,1.0
cat vs dog,cat,dog,0,small_mu,6,rbf,0.64,0.1
cat vs dog,cat,dog,0,small_mu,8,rbf,0.6425,0.1
cat vs dog,cat,dog,0,small_mu,10,rbf,0.6575,10.0
cat vs dog,cat,dog,0,small_mu,16,rbf,0.695,0.1
cat vs dog,cat,dog,0,small_mu,24,rbf,0.7075,0.1
cat vs dog,cat,dog,0,small_mu,1,laplacian,0.4925,0.1
cat vs dog,cat,dog,0,small_mu,2,laplacian,0.5025,0.1
cat vs dog,cat,dog,0,small_mu,4,laplacian,0.53,1.0
cat vs dog,cat,dog,0,small_mu,6,laplacian,0.5325,1.0
cat vs dog,cat,dog,0,small_mu,8,laplacian,0.53,10.0
cat vs dog,cat,dog,0,small_mu,10,laplacian,0.535,0.1
cat vs dog,cat,dog,0,small_mu,16,laplacian,0.565,1.0
cat vs dog,cat,dog,0,small_mu,24,laplacian,0.5925,1.0
cat vs dog,cat,dog,0,small_mu,1,polynomial,0.6,0.1
cat vs dog,cat,dog,0,small_mu,2,polynomial,0.6175,0.1
cat vs dog,cat,dog,0,small_mu,4,polynomial,0.6025,0.1
cat vs dog,cat,dog,0,small_mu,6,polynomial,0.6025,0.1
cat vs dog,cat,dog,0,small_mu,8,polynomial,0.6125,0.1
cat vs dog,cat,dog,0,small_mu,10,polynomial,0.61,0.1
cat vs dog,cat,dog,0,small_mu,16,polynomial,0.64,0.1
cat vs dog,cat,dog,0,small_mu,24,polynomial,0.6425,0.1
cat vs dog,cat,dog,0,small_mu,1,sigmoid,0.54,0.1
cat vs dog,cat,dog,0,small_mu,2,sigmoid,0.5325,0.1
cat vs dog,cat,dog,0,small_mu,4,sigmoid,0.465,0.1
cat vs dog,cat,dog,0,small_mu,6,sigmoid,0.5025,0.1
cat vs dog,cat,dog,0,small_mu,8,sigmoid,0.525,0.1
cat vs dog,cat,dog,0,small_mu,10,sigmoid,0.51,10.0
cat vs dog,cat,dog,0,small_mu,16,sigmoid,0.5375,0.1
cat vs dog,cat,dog,0,small_mu,24,sigmoid,0.5725,10.0
cat vs dog,cat,dog,1,large_mu,1,linear,0.7625,10.0
cat vs dog,cat,dog,1,large_mu,2,linear,0.76,1.0
cat vs dog,cat,dog,1,large_mu,4,linear,0.7525,0.1
cat vs dog,cat,dog,1,large_mu,6,linear,0.755,10.0
cat vs dog,cat,dog,1,large_mu,8,linear,0.765,1.0
cat vs dog,cat,dog,1,large_mu,10,linear,0.7575,1.0
cat vs dog,cat,dog,1,large_mu,16,linear,0.7675,0.1
cat vs dog,cat,dog,1,large_mu,24,linear,0.7575,1.0
cat vs dog,cat,dog,1,large_mu,1,rbf,0.7975,0.1
cat vs dog,cat,dog,1,large_mu,2,rbf,0.8,10.0
cat vs dog,cat,dog,1,large_mu,4,rbf,0.8025,0.1
cat vs dog,cat,dog,1,large_mu,6,rbf,0.805,0.1
cat vs dog,cat,dog,1,large_mu,8,rbf,0.8,0.1
cat vs dog,cat,dog,1,large_mu,10,rbf,0.8125,0.1
cat vs dog,cat,dog,1,large_mu,16,rbf,0.81,0.1
cat vs dog,cat,dog,1,large_mu,24,rbf,0.81,0.1
cat vs dog,cat,dog,1,large_mu,1,laplacian,0.8175,0.1
cat vs dog,cat,dog,1,large_mu,2,laplacian,0.8125,1.0
cat vs dog,cat,dog,1,large_mu,4,laplacian,0.81,0.1
cat vs dog,cat,dog,1,large_mu,6,laplacian,0.8225,10.0
cat vs dog,cat,dog,1,large_mu,8,laplacian,0.8225,0.1
cat vs dog,cat,dog,1,large_mu,10,laplacian,0.82,1.0
cat vs dog,cat,dog,1,large_mu,16,laplacian,0.83,0.1
cat vs dog,cat,dog,1,large_mu,24,laplacian,0.835,0.1
cat vs dog,cat,dog,1,large_mu,1,polynomial,0.7875,0.1
cat vs dog,cat,dog,1,large_mu,2,polynomial,0.7875,0.1
cat vs dog,cat,dog,1,large_mu,4,polynomial,0.7925,1.0
cat vs dog,cat,dog,1,large_mu,6,polynomial,0.7875,1.0
cat vs dog,cat,dog,1,large_mu,8,polynomial,0.8,0.1
cat vs dog,cat,dog,1,large_mu,10,polynomial,0.785,1.0
cat vs dog,cat,dog,1,large_mu,16,polynomial,0.7725,1.0
cat vs dog,cat,dog,1,large_mu,24,polynomial,0.7925,0.1
cat vs dog,cat,dog,1,large_mu,1,sigmoid,0.58,0.1
cat vs dog,cat,dog,1,large_mu,2,sigmoid,0.5825,0.1
cat vs dog,cat,dog,1,large_mu,4,sigmoid,0.57,1.0
cat vs dog,cat,dog,1,large_mu,6,sigmoid,0.55,1.0
cat vs dog,cat,dog,1,large_mu,8,sigmoid,0.5625,0.1
cat vs dog,cat,dog,1,large_mu,10,sigmoid,0.5425,1.0
cat vs dog,cat,dog,1,large_mu,16,sigmoid,0.5275,1.0
cat vs dog,cat,dog,1,large_mu,24,sigmoid,0.52,1.0
cat vs dog,cat,dog,1,small_mu,1,linear,0.4525,0.1
cat vs dog,cat,dog,1,small_mu,2,linear,0.48,1.0
cat vs dog,cat,dog,1,small_mu,4,linear,0.555,10.0
cat vs dog,cat,dog,1,small_mu,6,linear,0.56,10.0
cat vs dog,cat,dog,1,small_mu,8,linear,0.5875,0.1
cat vs dog,cat,dog,1,small_mu,10,linear,0.5675,0.1
cat vs dog,cat,dog,1,small_mu,16,linear,0.605,0.1
cat vs dog,cat,dog,1,small_mu,24,linear,0.5925,1.0
cat vs dog,cat,dog,1,small_mu,1,rbf,0.5775,0.1
cat vs dog,cat,dog,1,small_mu,2,rbf,0.58,0.1
cat vs dog,cat,dog,1,small_mu,4,rbf,0.5875,1.0
cat vs dog,cat,dog,1,small_mu,6,rbf,0.58,1.0
cat vs dog,cat,dog,1,small_mu,8,rbf,0.5825,0.1
cat vs dog,cat,dog,1,small_mu,10,rbf,0.6125,10.0
cat vs dog,cat,dog,1,small_mu,16,rbf,0.6875,1.0
cat vs dog,cat,dog,1,small_mu,24,rbf,0.6325,0.1
cat vs dog,cat,dog,1,small_mu,1,laplacian,0.49,0.1
cat vs dog,cat,dog,1,small_mu,2,laplacian,0.4775,0.1
cat vs dog,cat,dog,1,small_mu,4,laplacian,0.58,0.1
cat vs dog,cat,dog,1,small_mu,6,laplacian,0.6,0.1
cat vs dog,cat,dog,1,small_mu,8,laplacian,0.635,0.1
cat vs dog,cat,dog,1,small_mu,10,laplacian,0.6175,0.1
cat vs dog,cat,dog,1,small_mu,16,laplacian,0.64,0.1
cat vs dog,cat,dog,1,small_mu,24,laplacian,0.68,10.0
cat vs dog,cat,dog,1,small_mu,1,polynomial,0.4925,0.1
cat vs dog,cat,dog,1,small_mu,2,polynomial,0.4725,1.0
cat vs dog,cat,dog,1,small_mu,4,polynomial,0.56,1.0
cat vs dog,cat,dog,1,small_mu,6,polynomial,0.545,0.1
cat vs dog,cat,dog,1,small_mu,8,polynomial,0.5425,0.1
cat vs dog,cat,dog,1,small_mu,10,polynomial,0.56,1.0
cat vs dog,cat,dog,1,small_mu,16,polynomial,0.585,0.1
cat vs dog,cat,dog,1,small_mu,24,polynomial,0.61,1.0
cat vs dog,cat,dog,1,small_mu,1,sigmoid,0.485,1.0
cat vs dog,cat,dog,1,small_mu,2,sigmoid,0.4925,0.1
cat vs dog,cat,dog,1,small_mu,4,sigmoid,0.455,0.1
cat vs dog,cat,dog,1,small_mu,6,sigmoid,0.4425,0.1
cat vs dog,cat,dog,1,small_mu,8,sigmoid,0.4975,0.1
cat vs dog,cat,dog,1,small_mu,10,sigmoid,0.48,1.0
cat vs dog,cat,dog,1,small_mu,16,sigmoid,0.5425,10.0
cat vs dog,cat,dog,1,small_mu,24,sigmoid,0.53,1.0
cat vs dog,cat,dog,2,large_mu,1,linear,0.7725,0.1
cat vs dog,cat,dog,2,large_mu,2,linear,0.7725,0.1
cat vs dog,cat,dog,2,large_mu,4,linear,0.77,0.1
cat vs dog,cat,dog,2,large_mu,6,linear,0.7525,1.0
cat vs dog,cat,dog,2,large_mu,8,linear,0.7475,0.1
cat vs dog,cat,dog,2,large_mu,10,linear,0.755,0.1
cat vs dog,cat,dog,2,large_mu,16,linear,0.7625,0.1
cat vs dog,cat,dog,2,large_mu,24,linear,0.7725,10.0
cat vs dog,cat,dog,2,large_mu,1,rbf,0.83,1.0
cat vs dog,cat,dog,2,large_mu,2,rbf,0.83,0.1
cat vs dog,cat,dog,2,large_mu,4,rbf,0.8275,0.1
cat vs dog,cat,dog,2,large_mu,6,rbf,0.83,10.0
cat vs dog,cat,dog,2,large_mu,8,rbf,0.83,0.1
cat vs dog,cat,dog,2,large_mu,10,rbf,0.825,1.0
cat vs dog,cat,dog,2,large_mu,16,rbf,0.8275,0.1
cat vs dog,cat,dog,2,large_mu,24,rbf,0.8375,0.1
cat vs dog,cat,dog,2,large_mu,1,laplacian,0.84,0.1
cat vs dog,cat,dog,2,large_mu,2,laplacian,0.84,10.0
cat vs dog,cat,dog,2,large_mu,4,laplacian,0.8475,10.0
cat vs dog,cat,dog,2,large_mu,6,laplacian,0.845,1.0
cat vs dog,cat,dog,2,large_mu,8,laplacian,0.835,0.1
cat vs dog,cat,dog,2,large_mu,10,laplacian,0.835,0.1
cat vs dog,cat,dog,2,large_mu,16,laplacian,0.825,1.0
cat vs dog,cat,dog,2,large_mu,24,laplacian,0.84,0.1
cat vs dog,cat,dog,2,large_mu,1,polynomial,0.81,0.1
cat vs dog,cat,dog,2,large_mu,2,polynomial,0.81,0.1
cat vs dog,cat,dog,2,large_mu,4,polynomial,0.8125,1.0
cat vs dog,cat,dog,2,large_mu,6,polynomial,0.82,10.0
cat vs dog,cat,dog,2,large_mu,8,polynomial,0.81,1.0
cat vs dog,cat,dog,2,large_mu,10,polynomial,0.8075,10.0
cat vs dog,cat,dog,2,large_mu,16,polynomial,0.8175,1.0
cat vs dog,cat,dog,2,large_mu,24,polynomial,0.815,0.1
cat vs dog,cat,dog,2,large_mu,1,sigmoid,0.55,0.1
cat vs dog,cat,dog,2,large_mu,2,sigmoid,0.56,0.1
cat vs dog,cat,dog,2,large_mu,4,sigmoid,0.53,1.0
cat vs dog,cat,dog,2,large_mu,6,sigmoid,0.505,10.0
cat vs dog,cat,dog,2,large_mu,8,sigmoid,0.5525,1.0
cat vs dog,cat,dog,2,large_mu,10,sigmoid,0.5475,10.0
cat vs dog,cat,dog,2,large_mu,16,sigmoid,0.57,10.0
cat vs dog,cat,dog,2,large_mu,24,sigmoid,0.6025,10.0
cat vs dog,cat,dog,2,small_mu,1,linear,0.485,0.1
cat vs dog,cat,dog,2,small_mu,2,linear,0.49,0.1
cat vs dog,cat,dog,2,small_mu,4,linear,0.5375,0.1
cat vs dog,cat,dog,2,small_mu,6,linear,0.5275,1.0
cat vs dog,cat,dog,2,small_mu,8,linear,0.52,1.0
cat vs dog,cat,dog,2,small_mu,10,linear,0.55,0.1
cat vs dog,cat,dog,2,small_mu,16,linear,0.5725,10.0
cat vs dog,cat,dog,2,small_mu,24,linear,0.5875,1.0
cat vs dog,cat,dog,2,small_mu,1,rbf,0.48,0.1
cat vs dog,cat,dog,2,small_mu,2,rbf,0.55,0.1
cat vs dog,cat,dog,2,small_mu,4,rbf,0.585,1.0
cat vs dog,cat,dog,2,small_mu,6,rbf,0.59,0.1
cat vs dog,cat,dog,2,small_mu,8,rbf,0.5925,10.0
cat vs dog,cat,dog,2,small_mu,10,rbf,0.615,0.1
cat vs dog,cat,dog,2,small_mu,16,rbf,0.6225,0.1
cat vs dog,cat,dog,2,small_mu,24,rbf,0.665,1.0
cat vs dog,cat,dog,2,small_mu,1,laplacian,0.485,0.1
cat vs dog,cat,dog,2,small_mu,2,laplacian,0.485,1.0
cat vs dog,cat,dog,2,small_mu,4,laplacian,0.5375,0.1
cat vs dog,cat,dog,2,small_mu,6,laplacian,0.525,0.1
cat vs dog,cat,dog,2,small_mu,8,laplacian,0.6125,0.1
cat vs dog,cat,dog,2,small_mu,10,laplacian,0.5975,0.1
cat vs dog,cat,dog,2,small_mu,16,laplacian,0.615,0.1
cat vs dog,cat,dog,2,small_mu,24,laplacian,0.59,0.1
cat vs dog,cat,dog,2,small_mu,1,polynomial,0.4825,0.1
cat vs dog,cat,dog,2,small_mu,2,polynomial,0.485,1.0
cat vs dog,cat,dog,2,small_mu,4,polynomial,0.53,1.0
cat vs dog,cat,dog,2,small_mu,6,polynomial,0.5475,1.0
cat vs dog,cat,dog,2,small_mu,8,polynomial,0.54,0.1
cat vs dog,cat,dog,2,small_mu,10,polynomial,0.5575,1.0
cat vs dog,cat,dog,2,small_mu,16,polynomial,0.585,0.1
cat vs dog,cat,dog,2,small_mu,24,polynomial,0.595,0.1
cat vs dog,cat,dog,2,small_mu,1,sigmoid,0.4925,0.1
cat vs dog,cat,dog,2,small_mu,2,sigmoid,0.5425,0.1
cat vs dog,cat,dog,2,small_mu,4,sigmoid,0.4575,0.1
cat vs dog,cat,dog,2,small_mu,6,sigmoid,0.4875,10.0
cat vs dog,cat,dog,2,small_mu,8,sigmoid,0.4875,10.0
cat vs dog,cat,dog,2,small_mu,10,sigmoid,0.5175,0.1
cat vs dog,cat,dog,2,small_mu,16,sigmoid,0.55,1.0
cat vs dog,cat,dog,2,small_mu,24,sigmoid,0.555,1.0
deer vs horse,deer,horse,0,large_mu,1,linear,0.8025,0.1
deer vs horse,deer,horse,0,large_mu,2,linear,0.8025,0.1
deer vs horse,deer,horse,0,large_mu,4,linear,0.8025,0.1
deer vs horse,deer,horse,0,large_mu,6,linear,0.81,0.1
deer vs horse,deer,horse,0,large_mu,8,linear,0.815,0.1
deer vs horse,deer,horse,0,large_mu,10,linear,0.81,0.1
deer vs horse,deer,horse,0,large_mu,16,linear,0.795,10.0
deer vs horse,deer,horse,0,large_mu,24,linear,0.78,1.0
deer vs horse,deer,horse,0,large_mu,1,rbf,0.785,0.1
deer vs horse,deer,horse,0,large_mu,2,rbf,0.795,0.1
deer vs horse,deer,horse,0,large_mu,4,rbf,0.795,1.0
deer vs horse,deer,horse,0,large_mu,6,rbf,0.8025,1.0
deer vs horse,deer,horse,0,large_mu,8,rbf,0.8175,1.0
deer vs horse,deer,horse,0,large_mu,10,rbf,0.8225,10.0
deer vs horse,deer,horse,0,large_mu,16,rbf,0.81,0.1
deer vs horse,deer,horse,0,large_mu,24,rbf,0.815,0.1
deer vs horse,deer,horse,0,large_mu,1,laplacian,0.7975,0.1
deer vs horse,deer,horse,0,large_mu,2,laplacian,0.795,10.0
deer vs horse,deer,horse,0,large_mu,4,laplacian,0.81,1.0
deer vs horse,deer,horse,0,large_mu,6,laplacian,0.8175,1.0
deer vs horse,deer,horse,0,large_mu,8,laplacian,0.82,1.0
deer vs horse,deer,horse,0,large_mu,10,laplacian,0.8175,1.0
deer vs horse,deer,horse,0,large_mu,16,laplacian,0.8125,1.0
deer vs horse,deer,horse,0,large_mu,24,laplacian,0.83,0.1
deer vs horse,deer,horse,0,large_mu,1,polynomial,0.8275,10.0
deer vs horse,deer,horse,0,large_mu,2,polynomial,0.8275,1.0
deer vs horse,deer,horse,0,large_mu,4,polynomial,0.83,10.0
deer vs horse,deer,horse,0,large_mu,6,polynomial,0.84,1.0
deer vs horse,deer,horse,0,large_mu,8,polynomial,0.8325,0.1
deer vs horse,deer,horse,0,large_mu,10,polynomial,0.83,0.1
deer vs horse,deer,horse,0,large_mu,16,polynomial,0.84,0.1
deer vs horse,deer,horse,0,large_mu,24,polynomial,0.845,0.1
deer vs horse,deer,horse,0,large_mu,1,sigmoid,0.63,0.1
deer vs horse,deer,horse,0,large_mu,2,sigmoid,0.6425,0.1
deer vs horse,deer,horse,0,large_mu,4,sigmoid,0.635,0.1
deer vs horse,deer,horse,0,large_mu,6,sigmoid,0.65,10.0
deer vs horse,deer,horse,0,large_mu,8,sigmoid,0.64,1.0
deer vs horse,deer,horse,0,large_mu,10,sigmoid,0.635,1.0
deer vs horse,deer,horse,0,large_mu,16,sigmoid,0.6575,0.1
deer vs horse,deer,horse,0,large_mu,24,sigmoid,0.645,1.0
deer vs horse,deer,horse,0,small_mu,1,linear,0.4775,1.0
deer vs horse,deer,horse,0,small_mu,2,linear,0.495,0.1
deer vs horse,deer,horse,0,small_mu,4,linear,0.51,0.1
deer vs horse,deer,horse,0,small_mu,6,linear,0.525,1.0
deer vs horse,deer,horse,0,small_mu,8,linear,0.525,1.0
deer vs horse,deer,horse,0,small_mu,10,linear,0.54,1.0
deer vs horse,deer,horse,0,small_mu,16,linear,0.545,1.0
deer vs horse,deer,horse,0,small_mu,24,linear,0.565,0.1
deer vs horse,deer,horse,0,small_mu,1,rbf,0.515,0.1
deer vs horse,deer,horse,0,small_mu,2,rbf,0.53,0.1
deer vs horse,deer,horse,0,small_mu,4,rbf,0.5875,1.0
deer vs horse,deer,horse,0,small_mu,6,rbf,0.605,0.1
deer vs horse,deer,horse,0,small_mu,8,rbf,0.5825,0.1
deer vs horse,deer,horse,0,small_mu,10,rbf,0.58,10.0
deer vs horse,deer,horse,0,small_mu,16,rbf,0.655,10.0
deer vs horse,deer,horse,0,small_mu,24,rbf,0.67,0.1
deer vs horse,deer,horse,0,small_mu,1,laplacian,0.5125,0.1
deer vs horse,deer,horse,0,small_mu,2,laplacian,0.5125,0.1
deer vs horse,deer,horse,0,small_mu,4,laplacian,0.51,0.1
deer vs horse,deer,horse,0,small_mu,6,laplacian,0.5075,0.1
deer vs horse,deer,horse,0,small_mu,8,laplacian,0.575,1.0
deer vs horse,deer,horse,0,small_mu,10,laplacian,0.56,0.1
deer vs horse,deer,horse,0,small_mu,16,laplacian,0.5725,0.1
deer vs horse,deer,horse,0,small_mu,24,laplacian,0.595,1.0
deer vs horse,deer,horse,0,small_mu,1,polynomial,0.51,0.1
deer vs horse,deer,horse,0,small_mu,2,polynomial,0.535,0.1
deer vs horse,deer,horse,0,small_mu,4,polynomial,0.5525,0.1
deer vs horse,deer,horse,0,small_mu,6,polynomial,0.58,1.0
deer vs horse,deer,horse,0,small_mu,8,polynomial,0.58,10.0
deer vs horse,deer,horse,0,small_mu,10,polynomial,0.5725,0.1
deer vs horse,deer,horse,0,small_mu,16,polynomial,0.595,1.0
deer vs horse,deer,horse,0,small_mu,24,polynomial,0.5975,0.1
deer vs horse,deer,horse,0,small_mu,1,sigmoid,0.52,0.1
deer vs horse,deer,horse,0,small_mu,2,sigmoid,0.5175,0.1
deer vs horse,deer,horse,0,small_mu,4,sigmoid,0.525,1.0
deer vs horse,deer,horse,0,small_mu,6,sigmoid,0.53,0.1
deer vs horse,deer,horse,0,small_mu,8,sigmoid,0.5375,10.0
deer vs horse,deer,horse,0,small_mu,10,sigmoid,0.5275,1.0
deer vs horse,deer,horse,0,small_mu,16,sigmoid,0.58,10.0
deer vs horse,deer,horse,0,small_mu,24,sigmoid,0.5825,1.0
deer vs horse,deer,horse,1,large_mu,1,linear,0.8175,0.1
deer vs horse,deer,horse,1,large_mu,2,linear,0.8225,1.0
deer vs horse,deer,horse,1,large_mu,4,linear,0.8175,0.1
deer vs horse,deer,horse,1,large_mu,6,linear,0.81,1.0
deer vs horse,deer,horse,1,large_mu,8,linear,0.8175,0.1
deer vs horse,deer,horse,1,large_mu,10,linear,0.8225,1.0
deer vs horse,deer,horse,1,large_mu,16,linear,0.8125,1.0
deer vs horse,deer,horse,1,large_mu,24,linear,0.81,10.0
deer vs horse,deer,horse,1,large_mu,1,rbf,0.7925,1.0
deer vs horse,deer,horse,1,large_mu,2,rbf,0.805,0.1
deer vs horse,deer,horse,1,large_mu,4,rbf,0.81,10.0
deer vs horse,deer,horse,1,large_mu,6,rbf,0.8175,0.1
deer vs horse,deer,horse,1,large_mu,8,rbf,0.8125,0.1
deer vs horse,deer,horse,1,large_mu,10,rbf,0.8125,0.1
deer vs horse,deer,horse,1,large_mu,16,rbf,0.825,0.1
deer vs horse,deer,horse,1,large_mu,24,rbf,0.82,0.1
deer vs horse,deer,horse,1,large_mu,1,laplacian,0.81,0.1
deer vs horse,deer,horse,1,large_mu,2,laplacian,0.81,0.1
deer vs horse,deer,horse,1,large_mu,4,laplacian,0.805,0.1
deer vs horse,deer,horse,1,large_mu,6,laplacian,0.825,1.0
deer vs horse,deer,horse,1,large_mu,8,laplacian,0.825,0.1
deer vs horse,deer,horse,1,large_mu,10,laplacian,0.8225,0.1
deer vs horse,deer,horse,1,large_mu,16,laplacian,0.815,0.1
deer vs horse,deer,horse,1,large_mu,24,laplacian,0.8225,1.0
deer vs horse,deer,horse,1,large_mu,1,polynomial,0.8375,1.0
deer vs horse,deer,horse,1,large_mu,2,polynomial,0.8375,1.0
deer vs horse,deer,horse,1,large_mu,4,polynomial,0.84,0.1
deer vs horse,deer,horse,1,large_mu,6,polynomial,0.8425,0.1
deer vs horse,deer,horse,1,large_mu,8,polynomial,0.8375,1.0
deer vs horse,deer,horse,1,large_mu,10,polynomial,0.825,1.0
deer vs horse,deer,horse,1,large_mu,16,polynomial,0.8175,1.0
deer vs horse,deer,horse,1,large_mu,24,polynomial,0.8325,10.0
deer vs horse,deer,horse,1,large_mu,1,sigmoid,0.65,0.1
deer vs horse,deer,horse,1,large_mu,2,sigmoid,0.6575,0.1
deer vs horse,deer,horse,1,large_mu,4,sigmoid,0.6525,0.1
deer vs horse,deer,horse,1,large_mu,6,sigmoid,0.65,0.1
deer vs horse,deer,horse,1,large_mu,8,sigmoid,0.685,0.1
deer vs horse,deer,horse,1,large_mu,10,sigmoid,0.685,0.1
deer vs horse,deer,horse,1,large_mu,16,sigmoid,0.6775,10.0
deer vs horse,deer,horse,1,large_mu,24,sigmoid,0.69,0.1
deer vs horse,deer,horse,1,small_mu,1,linear,0.48,1.0
deer vs horse,deer,horse,1,small_mu,2,linear,0.565,0.1
deer vs horse,deer,horse,1,small_mu,4,linear,0.5725,1.0
deer vs horse,deer,horse,1,small_mu,6,linear,0.5625,0.1
deer vs horse,deer,horse,1,small_mu,8,linear,0.63,0.1
deer vs horse,deer,horse,1,small_mu,10,linear,0.65,10.0
deer vs horse,deer,horse,1,small_mu,16,linear,0.6525,0.1
deer vs horse,deer,horse,1,small_mu,24,linear,0.625,1.0
deer vs horse,deer,horse,1,small_mu,1,rbf,0.585,0.1
deer vs horse,deer,horse,1,small_mu,2,rbf,0.58,0.1
deer vs horse,deer,horse,1,small_mu,4,rbf,0.6175,0.1
deer vs horse,deer,horse,1,small_mu,6,rbf,0.635,0.1
deer vs horse,deer,horse,1,small_mu,8,rbf,0.645,0.1
deer vs horse,deer,horse,1,small_mu,10,rbf,0.6475,1.0
deer vs horse,deer,horse,1,small_mu,16,rbf,0.675,0.1
deer vs horse,deer,horse,1,small_mu,24,rbf,0.685,1.0
deer vs horse,deer,horse,1,small_mu,1,laplacian,0.545,0.1
deer vs horse,deer,horse,1,small_mu,2,laplacian,0.585,1.0
deer vs horse,deer,horse,1,small_mu,4,laplacian,0.6375,0.1
deer vs horse,deer,horse,1,small_mu,6,laplacian,0.6325,0.1
deer vs horse,deer,horse,1,small_mu,8,laplacian,0.645,0.1
deer vs horse,deer,horse,1,small_mu,10,laplacian,0.63,10.0
deer vs horse,deer,horse,1,small_mu,16,laplacian,0.64,0.1
deer vs horse,deer,horse,1,small_mu,24,laplacian,0.655,1.0
deer vs horse,deer,horse,1,small_mu,1,polynomial,0.4925,1.0
deer vs horse,deer,horse,1,small_mu,2,polynomial,0.5,0.1
deer vs horse,deer,horse,1,small_mu,4,polynomial,0.4875,1.0
deer vs horse,deer,horse,1,small_mu,6,polynomial,0.6025,0.1
deer vs horse,deer,horse,1,small_mu,8,polynomial,0.605,0.1
deer vs horse,deer,horse,1,small_mu,10,polynomial,0.585,1.0
deer vs horse,deer,horse,1,small_mu,16,polynomial,0.6375,1.0
deer vs horse,deer,horse,1,small_mu,24,polynomial,0.665,0.1
deer vs horse,deer,horse,1,small_mu,1,sigmoid,0.5075,0.1
deer vs horse,deer,horse,1,small_mu,2,sigmoid,0.4875,0.1
deer vs horse,deer,horse,1,small_mu,4,sigmoid,0.4675,1.0
deer vs horse,deer,horse,1,small_mu,6,sigmoid,0.53,0.1
deer vs horse,deer,horse,1,small_mu,8,sigmoid,0.565,10.0
deer vs horse,deer,horse,1,small_mu,10,sigmoid,0.575,1.0
deer vs horse,deer,horse,1,small_mu,16,sigmoid,0.565,10.0
deer vs horse,deer,horse,1,small_mu,24,sigmoid,0.57,0.1
deer vs horse,deer,horse,2,large_mu,1,linear,0.795,0.1
deer vs horse,deer,horse,2,large_mu,2,linear,0.795,0.1
deer vs horse,deer,horse,2,large_mu,4,linear,0.8,1.0
deer vs horse,deer,horse,2,large_mu,6,linear,0.8075,1.0
deer vs horse,deer,horse,2,large_mu,8,linear,0.7975,1.0
deer vs horse,deer,horse,2,large_mu,10,linear,0.7975,1.0
deer vs horse,deer,horse,2,large_mu,16,linear,0.805,1.0
deer vs horse,deer,horse,2,large_mu,24,linear,0.795,0.1
deer vs horse,deer,horse,2,large_mu,1,rbf,0.8175,1.0
deer vs horse,deer,horse,2,large_mu,2,rbf,0.8125,10.0
deer vs horse,deer,horse,2,large_mu,4,rbf,0.8275,0.1
deer vs horse,deer,horse,2,large_mu,6,rbf,0.83,0.1
deer vs horse,deer,horse,2,large_mu,8,rbf,0.8275,1.0
deer vs horse,deer,horse,2,large_mu,10,rbf,0.84,1.0
deer vs horse,deer,horse,2,large_mu,16,rbf,0.83,1.0
deer vs horse,deer,horse,2,large_mu,24,rbf,0.835,0.1
deer vs horse,deer,horse,2,large_mu,1,laplacian,0.81,0.1
deer vs horse,deer,horse,2,large_mu,2,laplacian,0.81,10.0
deer vs horse,deer,horse,2,large_mu,4,laplacian,0.8175,1.0
deer vs horse,deer,horse,2,large_mu,6,laplacian,0.8175,0.1
deer vs horse,deer,horse,2,large_mu,8,laplacian,0.8125,0.1
deer vs horse,deer,horse,2,large_mu,10,laplacian,0.825,0.1
deer vs horse,deer,horse,2,large_mu,16,laplacian,0.815,0.1
deer vs horse,deer,horse,2,large_mu,24,laplacian,0.7925,1.0
deer vs horse,deer,horse,2,large_mu,1,polynomial,0.8225,1.0
deer vs horse,deer,horse,2,large_mu,2,polynomial,0.825,1.0
deer vs horse,deer,horse,2,large_mu,4,polynomial,0.83,1.0
deer vs horse,deer,horse,2,large_mu,6,polynomial,0.8275,0.1
