pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
airplane vs bird,airplane,bird,1,small_mu,16,sigmoid,0.6475,10.0
airplane vs bird,airplane,bird,1,small_mu,24,sigmoid,0.6525,10.0
airplane vs bird,airplane,bird,2,large_mu,1,linear,0.9125,10.0
airplane vs bird,airplane,bird,2,large_mu,2,linear,0.915,0.1
airplane vs bird,airplane,bird,2,large_mu,4,linear,0.9,1.0
airplane vs bird,airplane,bird,2,large_mu,6,linear,0.905,1.0
airplane vs bird,airplane,bird,2,large_mu,8,linear,0.9075,1.0
airplane vs bird,airplane,bird,2,large_mu,10,linear,0.905,1.0
airplane vs bird,airplane,bird,2,large_mu,16,linear,0.9225,0.1
airplane vs bird,airplane,bird,2,large_mu,24,linear,0.9375,0.1
airplane vs bird,airplane,bird,2,large_mu,1,rbf,0.9525,1.0
airplane vs bird,airplane,bird,2,large_mu,2,rbf,0.9525,10.0
airplane vs bird,airplane,bird,2,large_mu,4,rbf,0.95,0.1
airplane vs bird,airplane,bird,2,large_mu,6,rbf,0.9575,1.0
airplane vs bird,airplane,bird,2,large_mu,8,rbf,0.9525,0.1
airplane vs bird,airplane,bird,2,large_mu,10,rbf,0.9625,0.1
airplane vs bird,airplane,bird,2,large_mu,16,rbf,0.9575,1.0
airplane vs bird,airplane,bird,2,large_mu,24,rbf,0.9625,0.1
airplane vs bird,airplane,bird,2,large_mu,1,laplacian,0.95,1.0
airplane vs bird,airplane,bird,2,large_mu,2,laplacian,0.95,0.1
airplane vs bird,airplane,bird,2,large_mu,4,laplacian,0.95,0.1
airplane vs bird,airplane,bird,2,large_mu,6,laplacian,0.9525,0.1
airplane vs bird,airplane,bird,2,large_mu,8,laplacian,0.9525,0.1
airplane vs bird,airplane,bird,2,large_mu,10,laplacian,0.955,0.1
airplane vs bird,airplane,bird,2,large_mu,16,laplacian,0.96,0.1
airplane vs bird,airplane,bird,2,large_mu,24,laplacian,0.9575,0.1
airplane vs bird,airplane,bird,2,large_mu,1,polynomial,0.94,0.1
airplane vs bird,airplane,bird,2,large_mu,2,polynomial,0.935,0.1
airplane vs bird,airplane,bird,2,large_mu,4,polynomial,0.9325,0.1
airplane vs bird,airplane,bird,2,large_mu,6,polynomial,0.935,0.1
airplane vs bird,airplane,bird,2,large_mu,8,polynomial,0.945,0.1
airplane vs bird,airplane,bird,2,large_mu,10,polynomial,0.9375,1.0
airplane vs bird,airplane,bird,2,large_mu,16,polynomial,0.9375,1.0
airplane vs bird,airplane,bird,2,large_mu,24,polynomial,0.94,0.1
airplane vs bird,airplane,bird,2,large_mu,1,sigmoid,0.6175,0.1
airplane vs bird,airplane,bird,2,large_mu,2,sigmoid,0.6175,1.0
airplane vs bird,airplane,bird,2,large_mu,4,sigmoid,0.63,10.0
airplane vs bird,airplane,bird,2,large_mu,6,sigmoid,0.65,0.1
airplane vs bird,airplane,bird,2,large_mu,8,sigmoid,0.7,10.0
airplane vs bird,airplane,bird,2,large_mu,10,sigmoid,0.705,10.0
airplane vs bird,airplane,bird,2,large_mu,16,sigmoid,0.705,0.1
airplane vs bird,airplane,bird,2,large_mu,24,sigmoid,0.7225,10.0
airplane vs bird,airplane,bird,2,small_mu,1,linear,0.545,0.1
airplane vs bird,airplane,bird,2,small_mu,2,linear,0.5325,0.1
airplane vs bird,airplane,bird,2,small_mu,4,linear,0.5875,0.1
