pair,class0,class1,rep,family,r,stage1_kernel,acc,probe_C
automobile vs truck,automobile,truck,1,large_mu,6,rbf,0.9,0.1
automobile vs truck,automobile,truck,1,large_mu,8,rbf,0.9,10.0
automobile vs truck,automobile,truck,1,large_mu,10,laplacian,0.9025,1.0
automobile vs truck,automobile,truck,1,large_mu,16,laplacian,0.9025,0.1
automobile vs truck,automobile,truck,1,large_mu,24,laplacian,0.905,10.0
automobile vs truck,automobile,truck,1,small_mu,1,laplacian,0.6025,0.1
automobile vs truck,automobile,truck,1,small_mu,2,laplacian,0.6075,0.1
automobile vs truck,automobile,truck,1,small_mu,4,rbf,0.5975,0.1
automobile vs truck,automobile,truck,1,small_mu,6,rbf,0.5875,1.0
automobile vs truck,automobile,truck,1,small_mu,8,laplacian,0.605,0.1
automobile vs truck,automobile,truck,1,small_mu,10,rbf,0.6375,1.0
automobile vs truck,automobile,truck,1,small_mu,16,rbf,0.6725,0.1
automobile vs truck,automobile,truck,1,small_mu,24,rbf,0.6425,1.0
automobile vs truck,automobile,truck,2,large_mu,1,laplacian,0.9125,0.1
automobile vs truck,automobile,truck,2,large_mu,2,laplacian,0.915,1.0
automobile vs truck,automobile,truck,2,large_mu,4,rbf,0.915,10.0
automobile vs truck,automobile,truck,2,large_mu,6,rbf,0.915,1.0
automobile vs truck,automobile,truck,2,large_mu,8,rbf,0.915,1.0
automobile vs truck,automobile,truck,2,large_mu,10,rbf,0.92,1.0
automobile vs truck,automobile,truck,2,large_mu,16,rbf,0.91,0.1
automobile vs truck,automobile,truck,2,large_mu,24,rbf,0.9125,0.1
automobile vs truck,automobile,truck,2,small_mu,1,laplacian,0.5875,0.1
automobile vs truck,automobile,truck,2,small_mu,2,laplacian,0.5925,0.1
automobile vs truck,automobile,truck,2,small_mu,4,laplacian,0.5725,0.1
automobile vs truck,automobile,truck,2,small_mu,6,laplacian,0.63,0.1
automobile vs truck,automobile,truck,2,small_mu,8,rbf,0.6725,0.1
automobile vs truck,automobile,truck,2,small_mu,10,rbf,0.69,0.1
automobile vs truck,automobile,truck,2,small_mu,16,laplacian,0.7025,0.1
automobile vs truck,automobile,truck,2,small_mu,24,laplacian,0.71,10.0
cat vs dog,cat,dog,0,large_mu,1,laplacian,0.815,0.1
cat vs dog,cat,dog,0,large_mu,2,laplacian,0.815,0.1
cat vs dog,cat,dog,0,large_mu,4,rbf,0.8075,1.0
cat vs dog,cat,dog,0,large_mu,6,rbf,0.8225,1.0
cat vs dog,cat,dog,0,large_mu,8,rbf,0.8225,0.1
cat vs dog,cat,dog,0,large_mu,10,rbf,0.825,0.1
cat vs dog,cat,dog,0,large_mu,16,rbf,0.8225,1.0
cat vs dog,cat,dog,0,large_mu,24,rbf,0.8325,1.0
cat vs dog,cat,dog,0,small_mu,1,polynomial,0.6,0.1
cat vs dog,cat,dog,0,small_mu,2,polynomial,0.6175,0.1
cat vs dog,cat,dog,0,small_mu,4,polynomial,0.6025,0.1
cat vs dog,cat,dog,0,small_mu,6,rbf,0.64,0.1
