pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,1,16,2,rbf,small_mu,18,18,17,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,1.0
airplane vs bird,airplane,bird,1,16,4,rbf,small_mu,18,18,17,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,1.0
airplane vs bird,airplane,bird,1,16,6,rbf,small_mu,18,18,17,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,1,16,8,rbf,small_mu,18,18,17,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.945,1.0
airplane vs bird,airplane,bird,1,16,10,rbf,small_mu,18,18,17,35,24,31578.78950939104,23763.223862082617,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,1.0
airplane vs bird,airplane,bird,1,16,16,polynomial,small_mu,18,18,17,35,24,183231.47255203975,77935.51992542918,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,2,4,1,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9675,10.0
airplane vs bird,airplane,bird,2,4,2,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,2,4,4,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,small_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.965,10.0
airplane vs bird,airplane,bird,2,4,6,rbf,large_mu,75,75,75,149,24,24585.241258919035,94970.95490219229,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.975,10.0
airplane vs bird,airplane,bird,2,4,8,laplacian,large_mu,75,75,75,149,24,18302.06691585261,71841.17087459927,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9775,1.0
