pair,class0,class1,rep,m,r,stage1_kernel,family,class0_bags,class1_bags,stable_r_limit,coordinate_rank,available_directions,D_mu,D_covariance,heuristic_family,evaluation_protocol,status,status_detail,acc,probe_C
airplane vs bird,airplane,bird,0,4,24,sigmoid,small_mu,75,75,74,110,24,10470.21963616097,22223.2637627207,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.82,0.1
airplane vs bird,airplane,bird,0,8,1,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.93,10.0
airplane vs bird,airplane,bird,0,8,2,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.94,1.0
airplane vs bird,airplane,bird,0,8,4,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,6,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,0.1
airplane vs bird,airplane,bird,0,8,8,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,1.0
airplane vs bird,airplane,bird,0,8,10,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9475,10.0
airplane vs bird,airplane,bird,0,8,16,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9375,0.1
airplane vs bird,airplane,bird,0,8,24,linear,large_mu,37,37,37,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.9425,1.0
airplane vs bird,airplane,bird,0,8,1,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,1.0
airplane vs bird,airplane,bird,0,8,2,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,0.1
airplane vs bird,airplane,bird,0,8,4,linear,small_mu,37,37,36,73,24,31375178.885891218,21809649.207792222,large_mu,disjoint_bag_coordinate_me_single_point_probe_v1,ok,,0.95,10.0
