pair,class0,class1,m,r,me_large_acc,me_large_std,me_small_acc,me_small_std,original_large_acc,original_large_std,original_small_acc,original_small_std,kfda_acc,kfda_std,supcon_acc,supcon_std,original_best_acc,original_best_family,me_best_acc,me_best_family,me_minus_original,me_minus_kfda,me_minus_supcon,me_original_abs_gap,minimum_baseline_margin,me_retains_original_and_wins
airplane vs ship,airplane,ship,8,2,0.92,0.013228756555322945,0.9183333333333333,0.02081665999466135,0.8925,0.015000000000000013,0.615,0.034369317712168765,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.008036375634160792,0.8925,large_mu,0.92,large_mu,0.02750000000000008,0.0508333333333334,-0.004166666666666652,0.02750000000000008,-0.004166666666666652,False
airplane vs ship,airplane,ship,8,4,0.9216666666666667,0.01664582029619852,0.9141666666666666,0.01892969448600092,0.8916666666666666,0.016266017746619264,0.6058333333333333,0.032627953250753156,0.8691666666666666,0.023760962382305417,0.9266666666666667,0.0028867513459481155,0.8916666666666666,large_mu,0.9216666666666667,large_mu,0.030000000000000138,0.0525000000000001,-0.0050000000000000044,0.030000000000000138,-0.0050000000000000044,False
airplane vs ship,airplane,ship,8,6,0.9233333333333333,0.011814539065631501,0.9183333333333333,0.012583057392117904,0.8933333333333334,0.01755942292142127,0.6158333333333333,0.03262795325075315,0.8691666666666666,0.023760962382305417,0.9283333333333333,0.005773502691896279,0.8933333333333334,large_mu,0.9233333333333333,large_mu,0.029999999999999916,0.054166666666666696,-0.0050000000000000044,0.029999999999999916,-0.0050000000000000044,False
airplane vs ship,airplane,ship,8,8,0.9216666666666667,0.010103629710818421,0.9233333333333333,0.012583057392117937,0.8958333333333334,0.01755942292142127,0.6175,0.02499999999999994,0.8691666666666666,0.023760962382305417,0.9258333333333333,0.003818813079129873,0.8958333333333334,large_mu,0.9233333333333333,small_mu,0.02749999999999997,0.054166666666666696,-0.0024999999999999467,0.02749999999999997,-0.0024999999999999467,False
airplane vs ship,airplane,ship,8,10,0.9216666666666667,0.01127312438205723,0.9216666666666667,0.015275252316519468,0.9,0.01984313483298446,0.6266666666666666,0.0361708906903512,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.0028867513459481155,0.9,large_mu,0.9216666666666667,large_mu,0.021666666666666723,0.0525000000000001,-0.0024999999999999467,0.021666666666666723,-0.0024999999999999467,False
airplane vs ship,airplane,ship,8,16,0.9175,0.019525624189766642,0.9225,0.01520690632574554,0.8983333333333334,0.017559422921421222,0.6625,0.04670385423067352,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.007216878364870297,0.8983333333333334,large_mu,0.9225,small_mu,0.02416666666666656,0.053333333333333344,-0.0016666666666667052,0.02416666666666656,-0.0016666666666667052,False
airplane vs ship,airplane,ship,8,24,0.9233333333333333,0.018085445345175623,0.9233333333333333,0.014215601757693352,0.9033333333333333,0.01626601774661935,0.6925,0.019843134832984374,0.8691666666666666,0.023760962382305417,0.9199999999999999,0.004330127018922213,0.9033333333333333,large_mu,0.9233333333333333,large_mu,0.020000000000000018,0.054166666666666696,0.0033333333333334103,0.020000000000000018,0.0033333333333334103,True
airplane vs ship,airplane,ship,16,1,0.8916666666666666,0.026731691553909042,0.8983333333333334,0.020207259421636918,0.89,0.01639359631075499,0.5983333333333333,0.03329164059239705,0.8691666666666666,0.023760962382305417,0.9266666666666667,0.006291528696058879,0.89,large_mu,0.8983333333333334,small_mu,0.008333333333333415,0.029166666666666785,-0.02833333333333332,0.008333333333333415,-0.02833333333333332,False
airplane vs ship,airplane,ship,16,2,0.9049999999999999,0.013919410907075082,0.9016666666666667,0.01282900359861724,0.8925,0.015000000000000013,0.615,0.034369317712168765,0.8691666666666666,0.023760962382305417,0.9241666666666667,0.008036375634160792,0.8925,large_mu,0.9049999999999999,large_mu,0.012499999999999956,0.03583333333333327,-0.019166666666666776,0.012499999999999956,-0.019166666666666776,False
airplane vs ship,airplane,ship,16,4,0.9066666666666667,0.01892969448600092,0.9058333333333334,0.01587713240271475,0.8916666666666666,0.016266017746619264,0.6058333333333333,0.032627953250753156,0.8691666666666666,0.023760962382305417,0.9266666666666667,0.0028867513459481155,0.8916666666666666,large_mu,0.9066666666666667,large_mu,0.015000000000000124,0.03750000000000009,-0.020000000000000018,0.015000000000000124,-0.020000000000000018,False
airplane vs ship,airplane,ship,16,6,0.9075000000000001,0.01391941090707511,0.9058333333333334,0.018085445345175578,0.8933333333333334,0.01755942292142127,0.6158333333333333,0.03262795325075315,0.8691666666666666,0.023760962382305417,0.9283333333333333,0.005773502691896279,0.8933333333333334,large_mu,0.9075000000000001,large_mu,0.01416666666666666,0.03833333333333344,-0.02083333333333326,0.01416666666666666,-0.02083333333333326,False
airplane vs ship,airplane,ship,16,8,0.9075000000000001,0.017320508075688787,0.9033333333333333,0.01607275126832161,0.8958333333333334,0.01755942292142127,0.6175,0.02499999999999994,0.8691666666666666,0.023760962382305417,0.9258333333333333,0.003818813079129873,0.8958333333333334,large_mu,0.9075000000000001,large_mu,0.011666666666666714,0.03833333333333344,-0.0183333333333332,0.011666666666666714,-0.0183333333333332,False
